Video ID,Title,Comment
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",In the beginning Amit Shah was nervous
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Ise kehte hain....
Modi ka dimaag... Aur Motabhai ki Daring...
Too lethal for enemies.."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I hope Modi doesn't repeat another 2002 Godhra and wipe out innocent human beings.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Mota bhai jindabad let's get the Pakistan back dalo ek do missile lahore pe
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Why would you lock down Kashmiris, if you are doing good to them?"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Now i know why congrees party is also famous for illiteracy....the way they behaved is not a way a literate party would have behaved😠
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Hats off to you that man who said sir phele unke conditions udar war corfu hrha h uspe discuss kren phir bill pass kren 😍
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Israeli Occupation In Palestine Result In Unlawful Birth Of Terrorist Israel. So India Following Big Brothers Step For The Cleasing N Genocide Of Kashmiri Muslim Majority To Form HindU Majority State Today Is A Big Slap On Every Indian Muslim Citizen Who Chose To Call India Home Land Savior Of Their Rights. Quaid E Azam Was Well Aware In 1930s The Racist TerrroristS Todays (Hindu Zionist) GOIN To Supres Muslims In Any WaY Possible. So Called Secularist Beliver, DEEP Down Puppet Of White Superamist Turn Out To Be DARK Choclate Superamist Forgot There Is A Creature N U Are Marely Jus A Creation Wat U Plan Above Is A Gods Plan, N SooN U Will Face Ur NightMare N U Were Not Loyal To Gandhi N U Will Perish In History As Ur Facist Leaders AlreadY. Tik Tok Every Breath U Take Is TaKin U Closer To Ur ULTIMATE End Not Ending Suffering Till Judgement Day. No One Can Deny Creature N His Wrath Which Avaits Patiently...."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","India no longer has any legitimacy in Kashmir. Even tho it was against the will of the people, They (India) have revoked the basis on which Kashmir was handed over by the maharaja and joined India."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Dogs are better than Congress members
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","The Best Speaker Ever!!!!!!!
Hats off for Venkaiah Naidu Sir."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","J@k is aajad at art 370
Good"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Jai hind
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","At Microinsurance we are focused on changing the way insurance is developed and processed. We are insurance with AI built in, a digital insurance company.  
www.microinsurance.com"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Ear rape set it as your alarm 😅
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",A terrorist state imposing terrorist laws. Long live kashmir
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I support this move but first distribute free condoms to north indians specially biharis and UP etc.. they multiple like swine there population is huge obviously they are problem for other states
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Naman amit shah ji ko🙏🙏🙏
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Reservation kp hatao aur tumhare himmat ho to.Reservation is alsp temporary.First scrap  reservation then scrap article 370 and 371
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","INDIA is dangerously on a FAST low-track. Here are the reasons :

 1- Jet Airways closed.

 2- Air India in terrible loss.

 3- BSNL’s 54,000 jobs are in danger.

 4- HAL does not have money to pay salaries.

 5- Post department in loss of 15000 crores.

 6- Videocon bankruptcy.

 7- Tata Docomo perished.

 8- Aircel perished.

 9- JP Group finishes.

10- Worst performance of ONGC till date.

11- The country's 36 largest debtors are missing from the country.

12- Big loan apology to 35 million crores.

13- PNB crisp.

14- Other banks also suffered huge losses.

15- Debt on the country is $131100 million.

16- Railways is being sold.

17- Red Fort put on rent.

18- Millions of people unemployed after the DeMo.

19- Highest unemployment rate in 45 years.

20- Three times more martyrs than the previous government.

21- Five airports sold to Adani.

 We are just trying to make you aware !

Note: Nothing is being shown in media. This is your duty to let other people know."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Hindustan is for Hindus. Best decision ever.
Hindustan Zindabad"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Well whether you like BJP or not!  Doesn't matter, I know most of the Quint subscribers doesn't like BJP,  But boy you have to admit that the speed with which this government is doing any work is really appreciable,  This is a much needed step which has to be taken and in just a matter of time the article is removed. This is the reason why majority of Indians voted for the present government, 
*No offense to quint subscribers."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Venkaih Naidu: I can only talk out not walk out 😂
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Kashmiris right now:Apna time aayega!
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Fake News, there's no abrogation of article 370 per Mr Salve who is a legal expert. Quint is an anti-India propaganda machine!"
